"Datos","TrieSort","MergeSort"
"1000","5702600","920200"
"2000","9117700","587500"
"3000","3709300","874000"
"4000","2322500","1297600"
"5000","2944200","1460800"
"6000","3427600","1439200"
"7000","4579800","2036800"
"8000","4157400","2266200"
"9000","3477400","2483900"
"10000","5155700","2835300"
"11000","3230300","3514600"
"12000","3611800","3246900"
"13000","5591200","3626600"
"14000","4369600","3969700"
"15000","4930000","4331400"
"16000","4658800","4555100"
"17000","4997200","5022900"
"18000","7032300","5446900"
"19000","9235800","5649600"
"20000","5482700","5955600"
"21000","6356700","6422300"
"22000","6643800","6753400"
"23000","7819800","7219100"
"24000","8285900","7618700"
"25000","7639300","8454100"
"26000","9329800","8349800"
"27000","12057900","8591800"
"28000","12125300","8814800"
"29000","9324400","9246300"
"30000","8864700","10745000"
"31000","9156400","11255600"
"32000","9627200","12280700"
"33000","9699600","12552400"
"34000","10524100","12556500"
"35000","10512600","13087500"
"36000","11217900","14577300"
"37000","11043400","17726100"
"38000","10976100","14343400"
"39000","16034700","11565500"
"40000","16589700","13613300"
"41000","16540600","13637700"
"42000","16858100","14469500"
"43000","11754800","14943900"
"44000","12386200","14908500"
"45000","12939200","15116900"
"46000","13971400","17894300"
"47000","13450200","15943600"
"48000","13323000","15977900"
"49000","13982900","16495400"
"50000","12992400","16962600"
,,
